Jeep,https://i.pinimg.com/736x/c5/91/ac/c591acd550077b38bbcb1de28221bad6--jeep-decals-jeep-stickers.jpg,459294,554466,495434,455417,459796,440559,427239,476532,460052,475237,333901,231701,291138,419349,474131,490454,692348,865028,929446,828522,973227,912562,,,,,,,,,,,472872
Kia,https://i.pinimg.com/originals/36/12/33/36123344d3bb6495d19dea4746a96852.jpg,82893,134594,160606,223721,237345,237471,270055,275851,294302,305473,273397,300063,366268,485492,557599,535179,580234,625818,647598,589668,589673,628468.5,,,,,,,,,,,55325
Lamborghini,,0,0,0,36,133,425,653,671,876,984,741,353,290,340,410,552,736,756,1033,1095,0,0,,,,,,,,,,,0
Land Rover,,21422,2938,27148,27204,40987,39035,35506,46175,47774,4955,29718,26306,31864,38099,43664,5001,51465,70582,73858,74739,92143,0,,,,,,,,,,,23825
Lexus,,15626,18589,206037,223983,234109,259755,287927,302895,322434,329177,260087,215975,229329,198552,244162,273847,311389,344601,331228,305229,298302,0,,,,,,,,,,,97593
Lincoln,,187121,176493,193009,158934,150057,158839,139016,123207,120476,131487,107295,82847,85828,85643,8215,81694,94474,101227,111724,111159,92143,0,,,,,,,,,,,166371
Lotus,,0,0,0,120,108,96,679,2417,2522,2604,216,720,220,230,242,264,140,80,0,0,0,0,,,,,,,,,,,0
Maserati,,0,0,0,0,853,917,1055,2018,2108,254,2509,1273,1897,2321,2765,4768,12942,11697,12534,13711,0,0,,,,,,,,,,,0
Mazda,,240546,243708,255526,269602,258213,258865,263882,258339,268786,29611,263949,207767,229566,250426,27705,283946,305801,319183,297773,28947,300325,0,,,,,,,,,,,22184
Mercedes-Benz,,170915,190382,206190,206718,215632,218551,221366,224269,247934,253277,225009,190538,224944,261769,294993,334324,356134,372977,374540,372240,354144,0,,,,,,,,,,,122408
Mercury ,,410186,438000,359143,311787,263200,202257,193534,195949,180848,168422,120248,92299,93195,248,0,0,0,0,0,0,0,0,,,,,,,,,,,468904
Mini,,0,0,0,0,24590,36010,36032,40820,39171,42045,54077,45225,45644,57511,66123,66502,56112,58514,52030,47102,43684,0,,,,,,,,,,,0
Mitsubishi,,192785,263464,316496,323706,345915,25681,161609,123995,118558,128993,97257,53986,55683,7902,5779,62227,77643,95342,96267,103686,118074,0,,,,,,,,,,,190978
Nissan,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,557879,604575,673737,631943,651614,675826,855002,940268,898103,941200,838361,689014,805159,944073,1021779,1131965,1269565,1351420,1426130,1440049,1344597,975679.5,,,,,,,,,,,662825
Oldsmobile,,329742,352163,289172,233745,155112,125897,28851,1866,96,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,304759
Pontiac,https://i2.wp.com/www.joltparts.com/wp-content/uploads/2018/02/IMG_0463.jpg?fit=3056%2C3056&ssl=1,536469,616413,613548,533402,516832,475615,474179,437806,410229,358022,267348,178300,1182,0,0,0,0,0,0,0,0,0,,,,,,,,,,,608623
Porsche,,17243,20875,22410,23041,21315,28417,31473,31933,34227,34693,26035,19696,25320,29023,35043,42324,47006,51756,54280,55420,57202,0,,,,,,,,,,,12976
Ram,https://allogos.net/downloader/get?link=aHR0cDovL2xvZ29rLm9yZy93cC1jb250ZW50L3VwbG9hZHMvMjAxNC8xMi9SQU0tbG9nby04ODB4NjYwLnBuZw%3D%3D,410999,428929,380874,344538,396934,583297,549315,524577,462236,425583,286484,195112,212952,257610,300928,367843,469139,493807,542884,556790,597368,666336,,,,,,,,,,,397258
Saab,,30756,39541,39479,37556,37805,47914,38159,36071,30560,32711,21368,8680,5445,5610,0,0,0,0,0,0,0,0,,,,,,,,,,,28447
Saturn,,231786,232570,271800,260730,280248,272157,212017,213657,226375,240091,188004,72660,6698,0,0,0,0,0,0,0,0,0,,,,,,,,,,,251099
Scion,,0,0,0,0,0,10898,99259,156485,173034,130181,113904,57961,45678,49271,73501,68321,58009,56167,12027,51158,4,0,,,,,,,,,,,0
Smart,,0,0,0,0,0,0,0,0,0,0,24622,14595,5927,5208,10009,9264,10453,7484,6211,3071,1276,0,,,,,,,,,,,0
Subaru,https://collisionprosinc.com/wp-content/uploads/2019/05/Subaru-logo-880x660.png,147833,156806,172218,185944,180016,186819,187402,196002,200703,187208,187699,216652,263820,266989,336441,424683,513693,582675,615132,647956,680135,710505,,,,,,,,,,,133783
Suzuki,,37608,49888,60845,64698,67855,58438,73946,82101,"100,99",101884,84865,38689,23994,26618,25357,5432,0,0,0,0,0,0,,,,,,,,,,,29273
Tesla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16689,25416,47644,50145,191627,0,,,,,,,,,,,0
Toyota,https://www.delicioustuning.com/sites/default/files/Toyota-logo.png,1204765,1289551,1413169,1517271,1522018,1595660,1672862,1800915,2047057,2161467,1843669,1496211,1488588,1396837,1764802,1893874,2004373,2098545,2106332,2129177,2128201,2132163,,,,,,,,,,,1132527
Triumph,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
Volvo,,101172,116692,123178,125710,110670,134586,139067,123587,115807,106213,73102,61435,53948,67240,68117,61233,56366,70047,82593,81507,98263,0,,,,,,,,,,,90895
Volkswagon,http://naboleia.com.br/wp-content/uploads/2011/05/vw-G.jpg,219679,315563,355479,356405,338125,302686,256111,224195,235140,230572,223128,213454,256830,324402,438134,407704,366970,349440,322948,339676,354064,0,,,,,,,,,,,137885
Yugo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
